,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6224194,26.02989167,26.56702432,27.16304179,27.00951188,27.27474136,26.78651211,25.71234509,25.07661801,25.53796126,25.47132993,25.28775048,24.78853753,25.25416988,23.69514823,24.46135143,24.75377919,25.70696784,26.07560813,26.00835691,24.42272428,22.92859825,23.53513881,24.03777391,22.59782094,21.86156404,23.22498771,22.70119148,,
Benin,,,,,,,,,,,,,,,,,,,,13.05749474,12.97267119,12.26007922,10.78914255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.661383768,9.861311204,11.29101966,10.44973408,10.77840826,11.27918912,10.54887635,11.12763173,11.31006465,12.21949136,13.88996243,14.94864196,13.66382751,13.2802007,14.1391533,15.26072123,15.29241208,15.64060786,13.74237017,16.01978778,17.67305174,18.35797988,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.611160271,6.691384191,6.965213904,7.046448418,7.135670039,7.043304058,6.917262669,7.656029883,7.498116263,7.834684749,8.685924706,9.02456269,8.962413315,8.635377737,8.498348828,7.316911848,6.997142632,7.731772166,7.638638955,7.001536744,7.64236301,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.83312845,22.33382461,16.90338645,15.21378387,21.23896499,11.15666427,12.06859738,18.5226349,19.37550127,20.03229573,20.45799307,19.78049413,18.14766581,20.11518615,21.02957099,20.88552199,21.81202041,21.7606133,21.97387982,18.58649864,17.87143156,17.88271515,18.38533526,19.68628224,19.56662077,20.07780364,20.33302996,20.52322466,19.93698055,20.55721271,20.17840551,20.58214782,21.72561584,20.47501976,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.562103993,4.433543613,4.740947817,4.704742759,4.549815884,4.218575809,4.435073079,4.483334723,4.981518453,4.408796623,3.732777721,4.103642909,3.578992892,3.306813188,4.216840666,1.161845629,1.166174892,1.145097962,1.235815584,1.363166786,1.128280939,1.071766976,1.137081472,1.029284683,0.792383936,0.990043144,0.808517154,0.936278227,1.092602424,2.878188719,2.823175478,,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86291851,13.63799997,15.43261499,15.39456662,16.71678429,17.34616506,17.04904406,10.39523969,9.972501983,10.32367804,10.67868759,9.859542693,8.999094713,9.288519057,9.428334156,10.00170798,11.24833165,11.35886589,12.12136614,11.25206873,10.76231493,13.01102086,12.03936947,11.77170037,11.28698,12.70142553,14.13404795,14.79055179,14.31972354,16.56020185,17.93134328,13.38953765,15.53056234,16.19800535,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.88609273,21.68995521,21.39427004,20.3021135,18.94628598,19.6856764,20.30566528,20.47753994,19.75154464,19.77790177,19.70001004,19.71374557,19.98764986,20.14102254,19.82659719,18.75064473,19.0981492,19.09105987,19.05868529,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54347826,26.63959391,24.75018266,19.88764693,18.79977481,20.73459095,17.11232894,16.67247619,16.6247345,15.75466424,14.20103832,17.68812191,18.3713469,20.14965628,22.22309662,23.72669873,25.35338921,18.62947063,16.32143837,14.50907256,14.66297503,13.35496285,12.69772453,14.17309447,13.78823561,13.01900561,14.67256897,13.30150614,12.02292326,12.82500496,11.23354562,12.70106334,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15973682,15.42555686,14.83863555,14.51750017,14.9793474,14.19870582,14.72868308,14.72486833,14.60145239,12.74746313,13.02471683,13.90309516,14.46033021,14.5081748,14.8487347,16.09363029,16.66810169,17.32950618,17.07858416,17.80059224,18.88480266,18.3662735,18.43678896,18.49372515,19.86248779,19.70611484,20.63817269,21.34413431,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.258114093,8.019954529,7.949052567,7.280551476,7.094743205,7.236224593,7.932729575,8.899788616,9.516345401,10.04546843,9.722329494,12.29385252,12.62034602,13.54652915,12.03978519,12.33080288,11.78254605,13.18410498,12.97300032,15.0163488,16.2151641,16.81616816,16.96486574,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24957596,14.85129878,14.33241109,14.12530574,13.49007452,13.62962937,13.71043098,13.60522851,13.94010799,13.73769484,12.71938786,14.13667513,14.72584792,14.04186242,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.24341798,25.77442299,26.73474277,25.28572444,25.94993899,25.40006711,24.70741403,21.56530728,22.62671563,21.4013748,20.12696972,20.5823002,22.64014144,24.91168012,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,5.720364294,6.6349007,7.603581246,6.7287936,7.111992927,,6.224939944,5.411393815,4.600056366,5.152906744,5.271109952,6.488472592,6.194935632,6.898255038,7.852497029,6.793272607,8.311448699,7.362506471,9.548394274,8.188499087,8.880442403,8.935209566,7.341979879,7.943782507,8.598554057,7.162124102,8.037875216,8.773628946,12.1941396,12.4317425,13.58872807,13.30259474,12.50529912,12.14534542,11.88643007,11.8591945,15.80402364,14.49755272,12.28463638,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.50161294,25.55719349,27.84554007,23.68479922,19.91674392,16.76579585,14.93710789,,,,,,,,,,27.52644024,26.61745627,27.92089988,27.68681402,23.88336421,24.04532616,28.03657766,26.74039063,27.09282997,26.31109885,21.63005532,23.93349631,21.74049457,21.098551,22.27470503,22.23042022,19.6495295,18.71332783,22.48973108
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.211979957,,,,8.28435089,7.908503384,8.407892197,7.540403624,8.172377281,,4.098500696,5.448991385,6.807588937,7.081244249,8.63983072,8.318458045,8.709644827,8.206292297,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11212924,14.3976756,14.3088598,13.65233583,13.07369452,13.28706226,13.87849283,14.56772835,14.66839759,14.69992073,14.85774318,14.18147981,13.37762747,13.22893471,13.34474787,13.29949289,13.34822067,13.33443201,12.3901656,12.30438595,11.7328093,11.80392128,11.66442736,11.6235046,11.80837908,12.38981091,12.49656263,12.61201668,13.05768467,12.7416889,13.51859875,13.99629468,13.73645184,14.08980132,14.24536718
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.47753737,19.98098702,19.3252728,19.31868661,19.18990589,18.41308355,17.95580306,17.22802353,17.41378602,17.67871357,17.26457065,17.4332261,17.83795453,18.35743119,18.29435654,16.86119715,17.07651189,17.19827107,17.24589202,17.32112978,17.25616501,17.59010645,17.61415338,17.56067951,17.43980295,17.54497814,17.42853117,18.01323475,17.68487599,,
Switzerland,,,,,,,,,,,,,,,,6.79436718,6.468733456,6.623875027,6.696349437,7.685615008,7.380171372,7.556425044,7.126461968,7.292197958,7.307528859,7.600636453,7.635406112,7.792768898,7.672089448,8.309256436,7.966643698,8.338601845,7.824865533,7.953722156,7.760840096,7.919358447,7.339651466,7.85574636,7.915461486,8.338045068,8.323929212,9.261956959,8.918886532,10.03234542,8.97063263,8.955704272,8.977577186,9.020393897,9.126160728,9.194038065,9.06562377,9.587141895,9.348527987,9.364008054,9.321952188,9.169074742,9.256214099,9.087339518,9.556179017,9.404603141,10.06163528,9.691023945,9.907169187,9.34487115,10.07014819,8.989933324,9.003557818,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
